	Chrom	Gene	Strand	Start	End	Position	p-value	Ratio Difference	Absolute ratio difference	n1: rna	n2: rna	N1: rna	N2: rna
0	chr1	ABCB10	-	229516581	229518410	229516858	0.1620688742482371	0.09012635454597345	0.09012635454597345	88.82310469314079	65.06859205776173	126.6707474226804	136.97164948453604
1	chr1	ABCD3	+	94478523	94478723	94478552	0.04285366849016317	0.09950100330253459	0.09950100330253459	23.666666666666668	3.5555555555555554	147.06896551724137	87.34482758620689
2	chr1	ABCD3	+	94517051	94518663	94517210	0.00685760072351775	0.14150943089912615	0.14150943089912615	109.44390915347557	59.74122505161734	146.7610062893082	149.38993710691824
3	chr1	ABL2	-	179099329	179109441	179102606	0.5162525986174803	-0.043055456895561006	0.043055456895561006	150.905706438816	289.37198657308517	119.36810534016095	191.792538405267
4	chr1	ACADM	+	75762691	75763679	75763370	0.025994836231525067	0.14600149212054836	0.14600149212054836	42.323624595469255	20.485436893203882	91.81737849779086	100.36229749631812
5	chr1	ACBD3	-	226144678	226146821	226146314	0.43015042030954054	0.04727384470748758	0.04727384470748758	150.49022004889974	197.80867970660148	164.4378698224852	261.5897435897436
6	chr1	ACOT11	+	54634687	54639192	54635082	0.8766314024969193	1.0	1.0	0.0051094890510948905	0.0	0.0	0.2582278481012658
7	chr1	ACP6	-	147642229	147648411	147644225	0.4138902595620598	-0.18265819911684203	0.18265819911684203	0.313627254509018	7.655811623246493	9.43549928332537	27.98112756808409
8	chr1	ACTN2	+	236762460	236764631	236762663	0.687783073742344	-0.318726412650563	0.318726412650563	0.3018292682926829	0.9029471544715447	2.852216748768473	1.2758620689655173
9	chr1	ADAMTS4	-	161184301	161191564	161188588	0.9354108862953201	0.014258367828368222	0.014258367828368222	1.4623279682761838	0.8089573128061581	38.499663978494624	35.41095430107527
10	chr1	ADGRL2	+	81987259	81993932	81987542	0.404859529285148	0.09254746655416046	0.09254746655416046	50.10610328638498	50.37214397496088	7.134275618374559	13.975265017667837
11	chr1	ADIPOR1	-	202940824	202941701	202941064	0.10621052486335286	-0.03887538973491189	0.03887538973491189	549.9916666666667	721.5416666666666	786.1789638932497	880.1287284144427
12	chr1	ADORA3	-	111499428	111500620	111500048	0.7847354635849657	0.6311931586806027	0.6311931586806027	0.32903225806451614	1.164516129032258	0.0	1.993006993006993
13	chr1	ADSS2	-	244408493	244409638	244409495	0.004311784510736907	0.0774035185363195	0.0774035185363195	191.1816367265469	167.87724550898204	448.6433566433566	590.3776223776224
14	chr1	AGL	+	99921533	99924023	99921966	0.061671851443918124	-0.32028308744346135	0.32028308744346135	16.1147301895965	16.425376762275157	19.41108545034642	4.799076212471132
15	chr1	AGO1	+	35919498	35930532	35922242	0.4014142582506628	-0.07969108710690626	0.07969108710690626	37.98335343787696	40.21133896260555	99.03899416909621	72.45809037900875
16	chr1	AGO3	+	36055636	36072500	36066589	0.8874427740996184	-0.060194534536881616	0.060194534536881616	14.174589747927593	25.602943664354594	11.626129827444535	16.397881858851452
17	chr1	AGO4	+	35853496	35857890	35855418	0.6425177373027242	-0.0704469958690861	0.0704469958690861	29.408576051779935	75.21076051779936	35.2840790842872	68.03798126951092
18	chr1	AGTRAP	+	11748414	11750769	11749871	0.9851493686830592	0.004972845721704644	0.004972845721704644	235.89420935412028	416.2216035634744	53.74056280027452	97.96156485929993
19	chr1	AHCTF1	-	246839097	246840998	246839383	0.011775944809716409	-0.2751487220362734	0.2751487220362734	15.087412587412587	26.16083916083916	45.68421052631579	23.82043343653251
20	chr1	AHCYL1	+	110021673	110023742	110023199	0.05734376796117258	0.06136036642243059	0.06136036642243059	488.08471454880294	340.31307550644567	371.38073394495416	331.5347313237222
21	chr1	AHDC1	-	27534244	27552189	27546331	0.8597680967536989	-0.03881781716899865	0.03881781716899865	7.538843385455448	7.079506908248532	51.492659610788664	35.4332536701946
22	chr1	AIDA	-	222668012	222669989	222668815	0.8756810970779758	-0.01832041935628337	0.01832041935628337	134.80448318804483	159.2104607721046	220.2223168654174	240.7930153321976
23	chr1	AK2	-	33007939	33014594	33013064	0.011523620367763469	-0.077503357602838	0.077503357602838	311.4930731707317	246.0280975609756	580.0843137254902	330.31699346405225
24	chr1	AK4	+	65226062	65232145	65231065	0.6174685410975281	-0.10539739788474795	0.10539739788474795	15.024074074074074	17.242592592592594	29.165100939436343	21.470717569458323
25	chr1	AK5	+	77558601	77559966	77559715	0.3351700778427795	-0.1703413416692931	0.1703413416692931	5.422310756972111	23.621513944223107	18.543087971274687	35.938958707360854
26	chr1	AKIRIN1	+	39004044	39006059	39004264	0.1965676509939872	0.03538626480145263	0.03538626480145263	482.4807799442897	316.6885793871866	891.6954545454546	686.3818181818183
27	chr1	AKNAD1	-	108815900	108816302	108816229	0.9244565315881823	0.060117730288657745	0.060117730288657745	5.358662613981763	9.601823708206688	8.876712328767123	20.753424657534246
28	chr1	AKR7A2	-	19302707	19304386	19304015	0.7200192838566218	0.013655869257577627	0.013655869257577627	26.76223241590214	37.25688073394495	325.28840970350404	560.1698113207547
29	chr1	AKT3	-	243488232	243505334	243494929	0.9385715359664434	0.027973002947240477	0.027973002947240477	1.7996117664625952	1.6971778408242497	17.843440653531957	24.97011052378664
30	chr1	ALG14	-	94974404	94983306	94978376	0.24705779363200256	-0.23335582203682267	0.23335582203682267	0.344662638469285	1.4380664652567976	14.563083164300203	4.1689655172413795
31	chr1	ALG6	+	63436822	63438553	63437185	0.3939996936001338	0.030091604621522133	0.030091604621522133	8.059941520467836	4.766081871345029	133.85399449035813	173.71900826446281
32	chr1	AMIGO1	-	109504177	109508999	109506842	0.4890360541008638	-0.091395228925442	0.091395228925442	25.636022514071296	52.03452157598499	42.1984237366713	58.83866481223922
33	chr1	ANGEL2	-	212992181	212995192	212993669	0.998730094700416	-0.002849063380257255	0.002849063380257255	67.57325268817205	99.85416666666667	63.82862770847014	93.25082074852266
34	chr1	ANGPTL1	-	178849534	178851316	178850642	0.9813360848182977	0.04296784002745586	0.04296784002745586	0.24007220216606498	0.0	5.347181008902077	0.844213649851632
35	chr1	ANGPTL3	+	62604632	62606313	62605124	0.9039056644278749	1.0	1.0	0.17157275021026072	0.0	0.0	0.03048780487804878
36	chr1	ANKRD13C	-	70258998	70262847	70259804	0.2755264657995022	-0.08222163748924599	0.08222163748924599	4.477667493796526	6.687344913151365	75.7752218205718	41.7660203746303
37	chr1	ANKRD34A	-	145959440	145961879	145959985	0.26269884264827736	-0.19550166119719448	0.19550166119719448	27.16330275229358	18.45321100917431	22.913410770855332	6.553326293558605
38	chr1	ANKRD45	-	173608335	173610215	173609667	0.3482513713089106	-0.44651552276951034	0.44651552276951034	1.731981981981982	2.795045045045045	5.281021897810219	1.2354014598540148
39	chr1	ANP32E	-	150218416	150226795	150225345	0.18962526661838158	-0.07447881210129093	0.07447881210129093	171.33338144032328	173.9363544523019	74.98827586206895	51.94137931034484
40	chr1	AP4B1	-	113894193	113895492	113895073	0.8353495434837428	-0.009298217431961672	0.009298217431961672	3.0170454545454546	6.507954545454545	161.38663484486872	228.86396181384248
41	chr1	ARHGAP29	-	94168904	94174749	94171785	0.4524126253281766	0.05924613651575925	0.05924613651575925	2.868101353696633	0.8497049635543215	33.62381916329285	43.06410256410256
42	chr1	ARHGEF19	-	16197853	16198744	16198121	0.7592708757779616	-0.04097288599028032	0.04097288599028032	7.119402985074627	16.917910447761194	55.126805778491175	91.98555377207063
43	chr1	ARHGEF2	-	155946853	155948015	155947462	0.20874380578222954	-0.04656431432121011	0.04656431432121011	220.7487684729064	382.64367816091954	355.5587703435805	508.0452079566003
44	chr1	ARID1A	+	26779022	26782104	26781100	0.0730098011247119	-0.0455742987804042	0.0455742987804042	638.906374501992	778.1553784860557	526.4841193455246	532.294032723773
45	chr1	ARID4B	-	235166901	235168652	235168023	0.9357240003492436	0.025956109810250982	0.025956109810250982	33.99197860962567	41.29946524064171	49.33386327503974	66.81875993640699
46	chr1	ARL8A	-	202133403	202134516	202134286	0.9214012211707685	-0.011382298167003091	0.011382298167003091	278.7757644394111	559.8086070215176	139.64347826086953	266.3043478260869
47	chr1	ARNT	-	150809712	150812110	150810575	0.0035952514684394424	-0.12662285856568833	0.12662285856568833	52.127462340672075	123.15527230590962	190.07100977198698	237.1068403908795
48	chr1	ARPC5	-	183620845	183627594	183626215	0.3081228356901052	0.00464411233723966	0.00464411233723966	17.155679702048417	8.533705772811919	1709.1464829586657	1603.5134155184917
49	chr1	ARV1	+	230997120	231000733	230999969	0.571819190383668	0.03427653369263828	0.03427653369263828	177.76570680628274	150.0130890052356	17.944892944892956	21.62021762021763
