	Chrom	Gene	Strand	Start	End	Positions
0	chr20	BCL2L1	-	31664457	31666086	[31664578]
1	chr20	KIF16B	-	16272103	16273411	[16272223]
2	chr20	GINS1	+	25445922	25448563	[25448562]
3	chr20	TGIF2-RAB5IF	+	36612009	36612557	[36612555]
4	chr20	ANKEF1	+	10055501	10058303	[10056718]
5	chr20	ROMO1	+	35700797	35700980	[35700979]
6	chr20	SMIM26	+	18569235	18569611	[18569560]
7	chr20	TGIF2	+	36590909	36593950	[36593937, 36592168]
8	chr20	PPP1R3D	-	59936662	59940305	[59936843]
9	chr20	PHF20	+	35947484	35950370	[35950122, 35950340, 35949358, 35948799]
10	chr20	FAM83D	+	38951538	38953106	[38952786, 38953061]
11	chr20	CDC25B	+	3804820	3806115	[3806114, 3805533, 3805381, 3805161, 3805034]
12	chr20	ZBTB46	-	63743669	63747301	[63743851]
13	chr20	CRLS1	+	6037073	6040053	[6038031, 6037682, 6037393]
14	chr20	L3MBTL1	+	43548110	43550954	[43550946]
15	chr20	MMP9	+	46016249	46016561	[46016552]
16	chr20	ARFGEF2	+	49033022	49036693	[49036681, 49036483, 49035911]
17	chr20	NDRG3	-	36651770	36653701	[36651778, 36651902, 36652902]
18	chr20	PKIG	+	44618284	44619037	[44619034]
19	chr20	PLCB1	+	8802055	8884900	[8884894, 8884738]
20	chr20	SNX5	-	17941599	17942407	[17941599, 17941891, 17942197]
21	chr20	TPX2	+	31800969	31801800	[31801799, 31801306]
22	chr20	SPATA2	-	49903390	49906845	[49904816, 49903437]
23	chr20	PROCR	+	35176697	35177362	[35177354, 35177132]
24	chr20	CENPB	-	3783850	3786740	[3783852, 3784866, 3784004, 3784273]
25	chr20	KIZ	+	21246478	21246622	[21246608]
26	chr20	EIF2S2	-	34088308	34089905	[34089433, 34088332, 34089532]
27	chr20	GID8	+	62944738	62948475	[62948474, 62945620, 62945273]
28	chr20	KCNK15	+	44750128	44752313	[44751907]
29	chr20	BTBD3	+	11922633	11926595	[11926577, 11926376]
30	chr20	POLR3F	+	18483480	18484646	[18484579, 18484504]
31	chr20	EPB41L1	+	36229331	36232799	[36232798, 36230339]
32	chr20	NAA20	+	20033101	20033655	[20033626, 20033423]
33	chr20	TRMT6	-	5937227	5938726	[5938486, 5937857, 5938006]
34	chr20	ADA	-	44619521	44619847	[44619528]
35	chr20	CHMP4B	+	33853495	33854366	[33854365, 33853841]
36	chr20	RPRD1B	+	38089725	38092364	[38092362]
37	chr20	ARFGAP1	+	63287563	63289790	[63289606, 63289782, 63289517]
38	chr20	OSBPL2	+	62293784	62296183	[62294890, 62296165]
39	chr20	DLGAP4	+	36526812	36528633	[36528120, 36528630, 36527092]
40	chr20	ASXL1	+	32372163	32372549	[32372525]
41	chr20	ASXL1	+	32434431	32439319	[32437359, 32439315, 32438079, 32439025, 32438387, 32439162]
42	chr20	BMP7	-	57168752	57171108	[57170493]
43	chr20	CD40	+	46128329	46129858	[46129644, 46129528, 46129840]
44	chr20	PCMTD2	+	64273220	64276226	[64275700, 64276174, 64275877, 64275463]
45	chr20	RNF24	-	3927310	3934201	[3933202, 3929780, 3933073]
46	chr20	TFAP2C	+	56637727	56639283	[56639282]
47	chr20	LPIN3	+	41358721	41360582	[41360581, 41360374]
48	chr20	PLCG1	+	41174466	41177626	[41175721]
49	chr20	ITPA	+	3223365	3223860	[3223856]
50	chr20	ZCCHC3	+	297569	300321	[300320]
51	chr20	RBBP9	-	18486539	18489990	[18486541, 18486834, 18487355]
52	chr20	RALGAPA2	-	20389529	20396734	[20389588]
53	chr20	PSMA7	-	62136732	62136949	[62136732]
54	chr20	CTSZ	-	58995184	58995759	[58995185]
55	chr20	DNMT3B	+	32807761	32809356	[32809222, 32809344]
56	chr20	TRPC4AP	-	35002403	35003283	[35002404, 35002632]
57	chr20	BCAS4	+	50876485	50877177	[50877176]
58	chr20	CDS2	+	5190101	5197887	[5190351, 5190493, 5197864, 5192529, 5191397]
59	chr20	KCNB1	-	49363876	49374992	[49363910, 49372106]
60	chr20	MTG2	+	62200682	62203568	[62203556, 62202747]
61	chr20	ZSWIM3	+	45876713	45879122	[45879121]
62	chr20	UBOX5	-	3107572	3110314	[3109613, 3107593]
63	chr20	HM13	+	31538178	31541733	[31541479, 31541732, 31540985]
64	chr20	HM13	+	31568077	31569543	[31569542, 31569271]
65	chr20	SRSF6	+	43460702	43464243	[43461768, 43463601]
66	chr20	TBC1D20	-	435479	438841	[435507, 436293, 436374, 438580]
67	chr20	SNPH	+	1304877	1309327	[1309319]
68	chr20	VAPB	+	58444076	58451101	[58451089, 58445534, 58446874, 58450792]
69	chr20	VSTM2L	+	37943980	37945350	[37945333]
70	chr20	TP53RK	-	46684364	46687231	[46684368, 46686683, 46686224, 46684644, 46685615]
71	chr20	TTI1	-	37983020	37983639	[37983024, 37983220]
72	chr20	DDX27	+	49243815	49244073	[49244072, 49243938]
73	chr20	RNF114	+	49952075	49953885	[49953881, 49952200]
74	chr20	DHX35	+	39038498	39039721	[39039594]
75	chr20	NANP	-	25612934	25616581	[25613575, 25613812, 25613674]
76	chr20	PTPRA	+	3038058	3038669	[3038668, 3038433]
77	chr20	NFS1	-	35668051	35669685	[35668975]
