	Chrom	Gene	Strand	Start	End	Positions
0	chr1	CSDE1	-	114716915	114718216	[114718002, 114717309, 114717998]
1	chr1	HDAC1	+	32333016	32333626	[32333154]
2	chr1	TRIT1	-	39838109	39841913	[39840250, 39841467, 39841068, 39838810]
3	chr1	ABCB10	-	229516581	229518410	[229516858, 229517820]
4	chr1	TMCO4	-	19682239	19683444	[19682629]
5	chr1	MARK1	+	220581064	220582898	[220581605, 220582092, 220581361, 220581467, 220581148]
6	chr1	MARK1	+	220661811	220664461	[220662438, 220663911, 220662600, 220662349, 220663600, 220662328]
7	chr1	TRAF3IP3	+	209782055	209782310	[209782131]
8	chr1	CCNL2	-	1385710	1387582	[1386728, 1386517]
9	chr1	PRKACB	+	84204478	84205437	[84204625, 84205228, 84205277]
10	chr1	PRKACB	+	84235179	84238498	[84235889, 84237163, 84237217]
11	chr1	AMY1A	+	103664330	103664554	[103664428]
12	chr1	OR2M4	+	248238909	248244679	[248243584, 248243715, 248240458, 248242187, 248241901, 248240464, 248241905, 248243092, 248241909, 248243162, 248241565]
13	chr1	S100A2	-	153561107	153561591	[153561363]
14	chr1	RBM15	+	110345538	110346677	[110345777]
15	chr1	OR6K3	-	158716326	158718132	[158717214]
16	chr1	CORT	+	10451376	10451998	[10451884, 10451597, 10451645]
17	chr1	MPC2	-	167916674	167918359	[167917990, 167918088, 167917099, 167918323, 167917115]
18	chr1	MAP10	+	232805415	232809929	[232808324, 232808392, 232808143, 232808752, 232808147, 232808346, 232808957, 232808861]
19	chr1	PDZK1	-	145670851	145671489	[145671042, 145671003]
20	chr1	BCAS2	-	114567556	114568256	[114567955, 114567755]
21	chr1	DAB1	-	56994777	57010790	[57003521, 57002121, 57006730, 57009164, 57008528, 56998301, 57009054, 57000609, 57000484, 57009444, 57004332, 57003827, 57007548, 57007296, 57009609, 57000532, 56999512, 57002093, 57003503, 56997873, 56997239]
22	chr1	DAB1	-	57144008	57145429	[57144935, 57145006, 57144368, 57144274, 57144381]
23	chr1	TLR5	-	223109403	223113035	[223111791]
24	chr1	RHOU	+	228743284	228746664	[228744989, 228745518, 228745841, 228745655, 228743965]
25	chr1	TARS2	+	150506915	150507602	[150507285]
26	chr1	OR2T11	-	248623556	248627272	[248625123, 248625613]
27	chr1	ZNHIT6	-	85649416	85654098	[85651138, 85650603, 85650861, 85651569, 85650518, 85651228]
28	chr1	SERBP1	-	67407809	67413263	[67411072, 67408964, 67413116, 67410451, 67409652, 67411894, 67409820, 67409341, 67411870]
29	chr1	KCTD3	+	215620056	215621807	[215620321, 215620421, 215621455, 215621332, 215621268, 215621460]
30	chr1	SRSF11	+	70250607	70253052	[70251800, 70251243, 70251461, 70251989]
31	chr1	NSUN4	+	46361569	46365018	[46362177, 46363825, 46363965]
32	chr1	NSUN4	+	46367788	46369218	[46368692, 46368636]
33	chr1	DUSP12	+	161756785	161757238	[161757147]
34	chr1	DDX20	+	111765736	111768000	[111766234, 111767243, 111767562, 111766327]
35	chr1	VTCN1	-	117143586	117147782	[117144596]
36	chr1	MAGOH	-	53226899	53227144	[53226944, 53227055]
37	chr1	PTBP2	+	96813272	96823739	[96816321, 96815653, 96814502, 96813927, 96813797, 96815112, 96818535, 96816622, 96814866, 96814547, 96816338, 96815031, 96814776, 96817276, 96817495, 96817567]
