	Chrom	Gene Name	Strand	Start	End	Position	p-value	Ratio Difference	Absolute ratio difference	n1: rna	n2: rna	N1: rna	N2: rna
0	chr1	MICOS10-NBL1	+	19656865	19658452	19658202	0.8730413230815796	-0.197793928307326	0.197793928307326	175.124	263.484	83.7958115183246	115.17501869857892
1	chr1	CROCC	+	16972359	16972964	16972845	0.988075579687067	-0.10401901313240769	0.10401901313240769	17.084033613445378	50.50420168067227	11.637860082304528	32.1275720164609
2	chr1	RSBN1	-	113761831	113766453	113765394	0.14860837941768143	-0.39210748832107967	0.39210748832107967	23.257928711759753	33.90036486107213	55.1643059490085	41.66100094428706
3	chr1	STX6	-	180972724	180976646	180975985	0.9997613484223656	-0.0017722885133785171	0.0017722885133785171	84.34989267095983	80.05611775528979	194.7034795763994	184.03933434190623
4	chr1	SKI	+	2306576	2310213	2309573	0.9496535455826605	-0.017329349180113085	0.017329349180113085	191.821875	386.7734375	391.0777444110778	761.6276276276276
5	chr1	CTPS1	+	41010160	41012565	41011798	0.7881883586675114	0.5342714346906061	0.5342714346906061	438.1277705345502	231.79921773142112	97.74053724053726	58.70879120879121
6	chr1	ZMYM6	-	34986164	34988935	34986969	0.8250046372281006	0.05853818707536573	0.05853818707536573	4.972670807453416	5.75527950310559	28.296032553407937	49.10681586978637
7	chr1	FAM89A	-	231018957	231020126	231019195	0.019827957553935262	0.462643189753138	0.462643189753138	108.65126050420169	44.35294117647059	110.75080558539206	85.55746509129969
8	chr1	NUCKS1	-	205712821	205718479	205714851	0.044152283448385135	-0.14873223356114973	0.14873223356114973	834.8591133004926	699.9418719211823	1070.6411245865493	753.8357221609702
9	chr1	ARID1A	+	26779022	26782104	26779208	0.01603477266168143	-0.2832232975892863	0.2832232975892863	563.7365331491712	621.082182320442	553.3064516129032	476.99462365591387
10	chr1	FPGT	+	74204390	74208702	74207227	0.7715865073045542	0.054816207777573164	0.054816207777573164	5.0467796610169495	5.468474576271187	34.37786394078252	59.44836094465986
11	chr1	PIGM	-	160024952	160031990	160029892	0.44790012217646946	-0.14298886193058463	0.14298886193058463	21.19676113360324	32.168623481781374	74.9423260247855	75.54337464251668
12	chr1	ARNT	-	150809712	150812110	150810097	0.4282729153835072	-0.053356081141584966	0.053356081141584966	18.02857142857143	37.01298701298701	163.83705911574765	226.52359662195727
13	chr1	ADPRS	+	36093096	36093932	36093610	0.8795824342976567	-0.04966983673454506	0.04966983673454506	193.47826086956522	170.22981366459626	281.1848249027237	230.74124513618673
14	chr1	TARDBP	+	11022123	11025492	11023696	0.5101436265586932	-0.04695349031813717	0.04695349031813717	265.52227171492206	208.64198218262806	758.6573426573427	525.6217418944693
15	chr1	AGL	+	99921533	99924023	99921944	0.042693845821460304	-2.8711006634878506	2.8711006634878506	16.015392015392017	16.36892736892737	20.090024330900242	4.46228710462287
16	chr1	UROD	+	45015336	45015575	45015431	0.9740754785326273	0.010548207017263556	0.010548207017263556	1338.8541666666667	1183.9097222222222	1568.063157894737	1403.9368421052632
17	chr1	GPR161	-	168079541	168085796	168084726	0.22671569172164763	-0.400355915345154	0.400355915345154	51.572806171648985	80.47078109932498	68.08317757009345	69.50000000000001
18	chr1	NUDC	+	26946129	26946871	26946397	0.27339506606982505	-0.0358600779714926	0.0358600779714926	137.76371308016877	98.65400843881856	986.2089552238806	561.9701492537314
19	chr1	RER1	+	2403034	2405436	2404963	7.953970212385512e-06	-0.1846624917825444	0.1846624917825444	213.52854122621565	281.5856236786469	769.2835666148263	609.1886988076724
20	chr1	CERS2	-	150965185	150966288	150965491	0.0032494594497397824	-0.11474135084000969	0.11474135084000969	1099.3921568627452	1618.8823529411766	1781.8306148055208	2212.365119196989
21	chr1	BSDC1	-	32364632	32368550	32368042	0.5076412539354506	-0.3918429449445435	0.3918429449445435	114.82756598240469	204.441642228739	73.31102362204724	104.40551181102359
22	chr1	KLHL20	+	173785162	173786692	173785711	0.25695591297153786	0.310295748297766	0.310295748297766	37.89296636085627	38.1651376146789	46.90710382513661	76.70856102003643
23	chr1	TTF2	+	117101379	117107453	117102666	0.4135226787063033	-0.10867965041021521	0.10867965041021521	18.467725088782117	20.73866722373094	101.86946386946387	71.52059052059052
24	chr1	RABGGTB	+	75794509	75795086	75794629	0.24703113282118275	-0.05694928973719737	0.05694928973719737	378.58424507658646	551.0765864332604	946.6333333333332	1206.1833333333334
25	chr1	TIPRL	+	168199902	168202109	168200588	0.05232720671709803	-0.1374575480398757	0.1374575480398757	132.19066403681788	143.48389217619987	397.1224489795918	305.07142857142856
